	Filename	Ref_si	Elongation	Time	Force	StrainMacro	StrainSi	StressMacro	StressSi	Duration	pCov	Err_strain	Err_Stress	Err_stress
0	S:/300-Projets_Transverses/300.56-Solflex/raman_data/20190829_uniaxi_20nm/s1/s1_single_01.txt	518.7		1567067174.0			-0.8694694110299087	[]	-1130.3102343388814	20.0	0.002567985704355152	-0.0010247349179390072		-7.882576291838516e-05
1	S:/300-Projets_Transverses/300.56-Solflex/raman_data/20190829_uniaxi_20nm/s1/s1_single_02.txt	518.7	-3.4701052631578873	1567067252.0	-0.18734825124551396	-0.014398777025551401	-0.5333728620449433	[]	-693.3847206584262	20.0	0.002688340788141155	-0.0010727616872071649		-8.252012978516653e-05
2	S:/300-Projets_Transverses/300.56-Solflex/raman_data/20190829_uniaxi_20nm/s1/s1_single_03.txt	518.7	-3.290736842105256	1567067543.0	-0.19186245858490522	-0.01365450971827907	0.7160657519648883	[]	930.8854775543549	20.0	0.0013968007339621956	-0.0005573825754039089		-4.287558272337761e-05
3	S:/300-Projets_Transverses/300.56-Solflex/raman_data/20190829_uniaxi_20nm/s1/s1_single_04.txt	518.7	30.855368421052642	1567067797.0	-0.18312807273865428	0.12803057436121426	0.5194639212093611	[]	675.3030975721693	20.0	0.0010001601844192825	-0.00039910621884249104		-3.070047837249931e-05
4	S:/300-Projets_Transverses/300.56-Solflex/raman_data/20190829_uniaxi_20nm/s1/s1_single_05.txt	518.7	81.19757894736844	1567068056.0	-0.157685931024853	0.3369194147193711	0.46232015958501005	[]	601.016207460513	20.0	0.0009394306058979339	-0.00037487254824338943		-2.8836349864876107e-05
5	S:/300-Projets_Transverses/300.56-Solflex/raman_data/20190829_uniaxi_20nm/s1/s1_single_06.txt	518.7	100.94347368421053	1567068218.0	-0.15272203254757843	0.4188525879012885	0.33972805277894697	[]	441.64646861263105	20.0	0.0016814428958940439	-0.0006709668379465459		-5.1612833688195843e-05
6	S:/300-Projets_Transverses/300.56-Solflex/raman_data/20190829_uniaxi_20nm/s1/s1_single_07.txt	518.7	160.99968421052634	1567068326.0	-0.15228963721088168	0.6680484822013542	0.25725399941692384	[]	334.43019924200104	20.0	0.0015668628065889881	-0.0006252445357497957		-4.809573351921506e-05
7	S:/300-Projets_Transverses/300.56-Solflex/raman_data/20190829_uniaxi_20nm/s1/s1_single_08.txt	518.7	200.0296842105263	1567068410.0	-0.13312587584331953	0.8299986896702337	0.3108813868028326	[]	404.1458028436824	20.0	0.0018216823771545164	-0.0007269283228868781		-5.591756329899063e-05
8	S:/300-Projets_Transverses/300.56-Solflex/raman_data/20190829_uniaxi_20nm/s1/s1_single_09.txt	518.7	246.09768421052635	1567068625.0	0.04517666434172783	1.0211522166411882	0.20681060527164433	[]	268.85378685313765	20.0	0.0011840183274768993	-0.0004724733948431362		-3.6344107295625865e-05
9	S:/300-Projets_Transverses/300.56-Solflex/raman_data/20190829_uniaxi_20nm/s1/s1_single_10.txt	518.7	250.01715789473684	1567068751.0	-0.009149485256718387	1.0374155929242193	0.21818000581749677	[]	283.6340075627458	20.0	0.001136022664248314	-0.0004533210950711548		-3.487085346701191e-05
